"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,ShannonDiversity

timestep,value
1,1.5595921
2,1.557077
3,1.5659153
4,1.5749063
5,1.5767348
6,1.5784451
7,1.5815946
8,1.583185
9,1.580322
10,1.5721785
11,1.5599531
12,1.5455519
13,1.5304573
14,1.5159268
15,1.5026335
16,1.4911786
17,1.4816347
18,1.4738556
19,1.4676672
20,1.4628795
21,1.4593127
22,1.4568409
23,1.4552946
24,1.454486
25,1.4542035
26,1.4543794
27,1.4549005
28,1.4556719
29,1.4566195
30,1.45769
31,1.4588475
32,1.4600701
33,1.4613465
34,1.4626714
35,1.4640435
36,1.4654628
37,1.466919
38,1.4684157
39,1.4699477
40,1.4715085
41,1.4730921
42,1.4746925
43,1.4763039
44,1.4779212
45,1.4795384
46,1.4811502
47,1.482751
48,1.4843361
49,1.4857303
50,1.4871211
51,1.4885073
52,1.4898853
53,1.4912496
54,1.4925933
55,1.4939097
56,1.495193
57,1.4964387
58,1.497644
59,1.4988072
60,1.4999285
61,1.5010684
62,1.5021454
63,1.5031563
64,1.5041031
65,1.504993
66,1.5058355
67,1.5066413
68,1.507419
69,1.5081762
70,1.5089176
71,1.5096462
72,1.510363
73,1.5110401
74,1.5116966
75,1.512328
76,1.5129325
77,1.5135108
78,1.514065
79,1.5145979
80,1.5151124
81,1.5156109
82,1.5160952
83,1.5165663
84,1.5170246
85,1.5174217
86,1.5178001
87,1.5181568
88,1.5184915
89,1.5188059
90,1.5191032
91,1.5193868
92,1.51966
93,1.5199254
94,1.5201846
95,1.5204386
96,1.5206876
97,1.5208193
98,1.5209514
99,1.5210831
100,1.5212134
101,1.5213412
102,1.5214657
103,1.5215863
104,1.5217028
105,1.5218148
106,1.5219228
107,1.5220269
108,1.5221272
109,1.5221583
110,1.5221822
111,1.5221967
112,1.5222012
113,1.5221978
114,1.5221894
115,1.5221789
116,1.5221691
117,1.522162
118,1.522159
119,1.5221605
