"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,TotalCatch

timestep,value
1,2.9383152
2,2.8803573
3,2.7856662
4,2.6542811
5,2.4885354
6,2.3404453
7,2.207526
8,2.0872202
9,1.9772351
10,1.875999
11,1.7853639
12,1.7070478
13,1.6719253
14,1.6161253
15,1.5714896
16,1.5375781
17,1.5129939
18,1.4961615
19,1.4857552
20,1.4806712
21,1.4800475
22,1.4833366
23,1.4899698
24,1.4993874
25,1.537682
26,1.5512264
27,1.5667385
28,1.5838981
29,1.6023877
30,1.6219109
31,1.6422063
32,1.6630546
33,1.6842816
34,1.7057564
35,1.7273871
36,1.7491145
37,1.7980826
38,1.8198225
39,1.8416529
40,1.8635752
41,1.8855909
42,1.9076968
43,1.9298828
44,1.952129
45,1.9744072
46,1.9966786
47,2.018896
48,2.0410066
49,2.0946429
50,2.116104
51,2.1372485
52,2.1580203
53,2.1783686
54,2.1982472
55,2.2176156
56,2.2364392
57,2.2546895
58,2.2723446
59,2.2893884
60,2.3058114
61,2.3574367
62,2.3724363
63,2.386896
64,2.4008212
65,2.414215
66,2.4270802
67,2.4394202
68,2.4512408
69,2.4625504
70,2.473361
71,2.483685
72,2.4935362
73,2.543815
74,2.5523846
75,2.5605729
76,2.5683947
77,2.5758605
78,2.5829797
79,2.5897603
80,2.5962102
81,2.6023386
82,2.6081548
83,2.6136692
84,2.6188931
85,2.669435
86,2.673583
87,2.6775298
88,2.6812882
89,2.6848662
90,2.6882694
91,2.691503
92,2.6945724
93,2.6974833
94,2.7002413
95,2.702854
96,2.7053294
97,2.7564902
98,2.757977
99,2.759378
100,2.7607076
101,2.7619786
102,2.763203
103,2.7643898
104,2.765549
105,2.7666874
106,2.7678127
107,2.7689323
108,2.7700524
109,2.8232374
110,2.8235543
111,2.8239574
112,2.8244545
113,2.8250487
114,2.8257422
115,2.8265362
116,2.8274324
117,2.8284333
118,2.829542
119,2.8307638
120,2.8321035
