"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,KemptonsQ

timestep,value
1,1.6408587
2,1.7490293
3,1.8504965
4,1.9250522
5,1.9644299
6,1.9516157
7,1.9046466
8,1.8435844
9,1.780022
10,1.7054693
11,1.6368235
12,1.5748882
13,1.5193559
14,1.4700854
15,1.4268862
16,1.3893365
17,1.3567762
18,1.3284221
19,1.3010585
20,1.274197
21,1.2498907
22,1.2277687
23,1.207527
24,1.1889247
25,1.1717684
26,1.1559194
27,1.1412665
28,1.1277173
29,1.1151913
30,1.1036155
31,1.0929205
32,1.08304
33,1.0739101
34,1.0654689
35,1.0576572
36,1.0504187
37,1.0436914
38,1.0374265
39,1.0315837
40,1.026893
41,1.0235251
42,1.0202829
43,1.0171595
44,1.0141493
45,1.0112481
46,1.0084525
47,1.0057604
48,1.00317
49,1.000785
50,0.9985077
51,0.9963302
52,0.9942466
53,0.9922538
54,0.99035037
55,0.9885357
56,0.98680913
57,0.98516965
58,0.9836157
59,0.9821452
60,0.98075575
61,0.9795542
62,0.97840405
63,0.97731864
64,0.97630495
65,0.9753637
66,0.9744914
67,0.97368336
68,0.97293437
69,0.97224045
70,0.9716004
71,0.97101337
72,0.9704789
73,0.97010064
74,0.9697591
75,0.9694617
76,0.9692119
77,0.96900976
78,0.9688533
79,0.9687396
80,0.96866554
81,0.968628
82,0.9686241
83,0.96865124
84,0.9687071
85,0.96878725
86,0.9688797
87,0.9689917
88,0.9691265
89,0.9692843
90,0.9694633
91,0.9696611
92,0.9698751
93,0.97010267
94,0.9703417
95,0.97059023
96,0.9708468
97,0.97110647
98,0.9713688
99,0.97163373
100,0.97190124
101,0.9721707
102,0.97244155
103,0.97271293
104,0.97298384
105,0.9732534
106,0.9735205
107,0.973784
108,0.97404295
109,0.97429305
110,0.974524
111,0.9747437
112,0.97495615
113,0.97516215
114,0.97536075
115,0.9755503
116,0.975729
117,0.9758952
118,0.97604764
